City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,cockburn town,56,TC,1529880433,97,21.46,-71.14,82.29,20.92
142,beyneu,0,KZ,1529880563,37,45.32,55.19,65.37,2.68
143,daru,92,SL,1529880517,100,7.99,-10.85,70.05,5.48
144,krasnoarmeysk,0,RU,1529877600,93,56.12,38.15,57.2,6.71
145,ponta do sol,76,BR,1529880938,49,-20.63,-46.0,69.33,5.59
146,novobelokatay,0,RU,1529880938,82,55.7,58.96,53.31,4.59
147,comodoro rivadavia,40,AR,1529877600,57,-45.87,-67.48,50.0,8.05
148,conceicao do araguaia,0,BR,1529880939,57,-8.26,-49.26,76.53,2.8
149,norman wells,90,CA,1529877600,76,65.28,-126.83,48.2,11.41
150,san patricio,92,PY,1529880940,99,-26.98,-56.83,55.29,6.04
151,vic,0,ES,1529879400,82,41.93,2.25,68.0,2.24
152,vila franca do campo,75,PT,1529879400,72,37.72,-25.43,68.0,5.82
153,tasiilaq,92,GL,1529877000,93,65.61,-37.64,35.6,2.24
154,luderitz,20,NA,1529880941,93,-26.65,15.16,49.08,10.96
155,avera,75,US,1529879700,55,33.19,-82.53,96.8,6.93
156,svetlogorsk,20,RU,1529877600,67,53.14,59.15,57.2,6.71
157,santa maria,90,BR,1529877600,93,-29.69,-53.81,51.8,6.93
158,opuwo,0,NA,1529880646,59,-18.06,13.84,43.41,2.68
159,fier,32,AL,1529880943,91,40.73,19.56,59.79,2.35
160,cherskiy,0,RU,1529880944,44,68.75,161.3,53.76,6.15
161,nanortalik,88,GL,1529880565,100,60.14,-45.24,36.12,11.18
162,chulym,76,RU,1529880944,72,55.09,80.97,67.35,3.69
163,bull savanna,36,JM,1529880634,66,17.89,-77.59,79.41,8.39
164,kodiak,1,US,1529877180,69,39.95,-94.76,80.6,11.41
165,tual,56,ID,1529880594,100,-5.67,132.75,79.32,14.65
166,flinders,0,AU,1529877600,80,-34.58,150.85,41.0,11.41
167,umea,0,SE,1529878800,93,63.83,20.26,46.4,3.8
168,meulaboh,68,ID,1529880946,100,4.14,96.13,79.23,3.02
169,mayor pablo lagerenza,0,PY,1529880947,72,-19.93,-60.77,59.52,5.7
170,pevek,24,RU,1529880947,92,69.7,170.27,35.49,4.36
171,mount gambier,80,AU,1529880947,95,-37.83,140.78,46.92,2.68
172,hearst,0,CA,1529880479,51,49.69,-83.67,58.08,4.47
173,kaeo,92,NZ,1529880546,97,-35.1,173.78,53.49,16.11
174,gushikawa,75,JP,1529879040,88,26.35,127.87,82.4,8.05
175,kiama,0,AU,1529877600,80,-34.67,150.86,41.0,11.41
176,kalmunai,24,LK,1529880949,99,7.42,81.82,72.48,3.02
177,launceston,36,AU,1529877600,100,-41.43,147.14,33.8,2.8
178,salinopolis,56,BR,1529880509,94,-0.61,-47.36,81.93,15.21
179,kaitangata,88,NZ,1529880950,96,-46.28,169.85,40.62,23.04
180,faanui,8,PF,1529880950,99,-16.48,-151.75,81.39,19.8
181,lebu,80,ET,1529880951,78,8.96,38.73,51.69,1.68
182,itarema,8,BR,1529880951,72,-2.92,-39.92,79.59,14.32
183,teguise,20,ES,1529879400,77,29.06,-13.56,69.8,9.17
184,victoria,75,BN,1529877600,94,5.28,115.24,77.0,1.12
185,namatanai,44,PG,1529880368,100,-3.66,152.44,82.2,10.74
186,san quintin,20,PH,1529877600,100,17.54,120.52,77.0,2.24
